City,Crime Description,Victim Gender,Weapon Used,Latitude,Longitude,Year
Ahmedabad,IDENTITY THEFT,M,Blunt Object,23.0219,72.5797,2020
Chennai,HOMICIDE,M,Poison,13.0825,80.275,2020
Ludhiana,KIDNAPPING,F,Blunt Object,30.912,75.8538,2020
Pune,BURGLARY,F,Firearm,18.5211,73.8553,2020
Pune,VANDALISM,F,Other,18.5211,73.8553,2020
Delhi,ASSAULT,M,Firearm,28.66,77.23,2020
Chennai,VEHICLE - STOLEN,F,Knife,13.0825,80.275,2020
Chennai,COUNTERFEITING,X,Knife,13.0825,80.275,2020
Mumbai,EXTORTION,X,Blunt Object,19.0758,72.8775,2020
Chennai,PUBLIC INTOXICATION,M,Knife,13.0825,80.275,2020
Delhi,FRAUD,M,Explosives,28.66,77.23,2020
Surat,IDENTITY THEFT,M,Poison,21.205,72.84,2020
Visakhapatnam,FRAUD,F,Poison,17.6939,83.2922,2020
Mumbai,ASSAULT,X,Unknown,19.0758,72.8775,2020
Bangalore,SEXUAL ASSAULT,F,Unknown,12.9791,77.5913,2020
Kolkata,COUNTERFEITING,F,Explosives,22.5675,88.37,2020
Ghaziabad,DRUG OFFENSE,M,Poison,28.6667,77.4167,2020
Pune,ARSON,F,Other,18.5211,73.8553,2020
Bangalore,CYBERCRIME,M,Unknown,12.9791,77.5913,2020
Bangalore,EXTORTION,F,Blunt Object,12.9791,77.5913,2020
Hyderabad,TRAFFIC VIOLATION,F,Poison,17.3617,78.4747,2020
Mumbai,VANDALISM,F,Other,19.0758,72.8775,2020
Jaipur,SHOPLIFTING,F,Blunt Object,26.915,75.82,2020
Chennai,VANDALISM,F,Other,13.0825,80.275,2020
Bangalore,DRUG OFFENSE,F,Other,12.9791,77.5913,2020
Jaipur,ASSAULT,M,Firearm,26.915,75.82,2020
Pune,IDENTITY THEFT,M,Blunt Object,18.5211,73.8553,2020
Lucknow,PUBLIC INTOXICATION,F,Unknown,26.847,80.947,2020
Bangalore,VANDALISM,F,Explosives,12.9791,77.5913,2020
Bhopal,BURGLARY,F,Unknown,23.2547,77.4029,2020
Bhopal,HOMICIDE,F,Explosives,23.2547,77.4029,2020
Hyderabad,VANDALISM,M,Knife,17.3617,78.4747,2020
Delhi,ILLEGAL POSSESSION,F,Knife,28.66,77.23,2020
Patna,VEHICLE - STOLEN,F,Explosives,25.61,85.1414,2020
Kanpur,VANDALISM,F,Other,26.4725,80.3311,2020
Chennai,COUNTERFEITING,F,Blunt Object,13.0825,80.275,2020
Lucknow,SEXUAL ASSAULT,F,Blunt Object,26.847,80.947,2020
Varanasi,SHOPLIFTING,F,Explosives,25.3176,82.9739,2020
Surat,VEHICLE - STOLEN,F,Unknown,21.205,72.84,2020
Mumbai,FRAUD,F,Explosives,19.0758,72.8775,2020
Visakhapatnam,HOMICIDE,F,Firearm,17.6939,83.2922,2020
Surat,ILLEGAL POSSESSION,M,Blunt Object,21.205,72.84,2020
Delhi,FIREARM OFFENSE,M,Poison,28.66,77.23,2020
Mumbai,SEXUAL ASSAULT,M,Other,19.0758,72.8775,2020
Kolkata,ARSON,F,Blunt Object,22.5675,88.37,2020
Patna,DRUG OFFENSE,M,Knife,25.61,85.1414,2020
Delhi,ROBBERY,F,Unknown,28.66,77.23,2020
Lucknow,FIREARM OFFENSE,F,Blunt Object,26.847,80.947,2020
Jaipur,ILLEGAL POSSESSION,F,Firearm,26.915,75.82,2020
Hyderabad,DRUG OFFENSE,F,Blunt Object,17.3617,78.4747,2020
Nagpur,BURGLARY,F,Other,21.1497,79.0806,2020
Kolkata,BURGLARY,F,Blunt Object,22.5675,88.37,2020
Ghaziabad,PUBLIC INTOXICATION,M,Poison,28.6667,77.4167,2020
Delhi,BURGLARY,M,Explosives,28.66,77.23,2020
Pune,FIREARM OFFENSE,F,Poison,18.5211,73.8553,2020
Meerut,BURGLARY,F,Unknown,28.9845,77.7064,2020
Kanpur,SEXUAL ASSAULT,F,Firearm,26.4725,80.3311,2020
Ahmedabad,ASSAULT,F,Unknown,23.0219,72.5797,2020
Chennai,TRAFFIC VIOLATION,F,Blunt Object,13.0825,80.275,2020
Thane,SHOPLIFTING,F,Other,19.2183,72.9781,2020
Mumbai,SHOPLIFTING,M,Poison,19.0758,72.8775,2020
Surat,DRUG OFFENSE,M,Explosives,21.205,72.84,2020
Chennai,FRAUD,M,Explosives,13.0825,80.275,2020
Thane,ILLEGAL POSSESSION,F,Blunt Object,19.2183,72.9781,2020
Visakhapatnam,DRUG OFFENSE,F,Explosives,17.6939,83.2922,2020
Lucknow,EXTORTION,F,Other,26.847,80.947,2020
Bhopal,CYBERCRIME,M,Unknown,23.2547,77.4029,2020
Visakhapatnam,BURGLARY,M,Knife,17.6939,83.2922,2020
Hyderabad,PUBLIC INTOXICATION,F,Explosives,17.3617,78.4747,2020
Visakhapatnam,FIREARM OFFENSE,F,Firearm,17.6939,83.2922,2020
Kolkata,FIREARM OFFENSE,F,Poison,22.5675,88.37,2020
Nagpur,ARSON,F,Knife,21.1497,79.0806,2020
Lucknow,BURGLARY,F,Blunt Object,26.847,80.947,2020
Chennai,ARSON,M,Firearm,13.0825,80.275,2020
Ahmedabad,CYBERCRIME,F,Knife,23.0219,72.5797,2020
Delhi,VANDALISM,M,Explosives,28.66,77.23,2020
Mumbai,KIDNAPPING,F,Explosives,19.0758,72.8775,2020
Indore,IDENTITY THEFT,F,Knife,22.7196,75.8577,2020
Mumbai,ROBBERY,F,Poison,19.0758,72.8775,2020
Visakhapatnam,VEHICLE - STOLEN,F,Unknown,17.6939,83.2922,2020
Delhi,ASSAULT,F,Knife,28.66,77.23,2020
Jaipur,FRAUD,F,Explosives,26.915,75.82,2020
Mumbai,ROBBERY,F,Firearm,19.0758,72.8775,2020
Kolkata,TRAFFIC VIOLATION,F,Blunt Object,22.5675,88.37,2020
Lucknow,PUBLIC INTOXICATION,M,Firearm,26.847,80.947,2020
Mumbai,VANDALISM,M,Other,19.0758,72.8775,2020
Lucknow,PUBLIC INTOXICATION,F,Firearm,26.847,80.947,2020
Rajkot,ROBBERY,F,Firearm,22.2969,70.7984,2020
Mumbai,HOMICIDE,F,Knife,19.0758,72.8775,2020
Hyderabad,VEHICLE - STOLEN,F,Blunt Object,17.3617,78.4747,2020
Kolkata,BURGLARY,F,Poison,22.5675,88.37,2020
Jaipur,CYBERCRIME,F,Unknown,26.915,75.82,2020
Hyderabad,FRAUD,M,Unknown,17.3617,78.4747,2020
Mumbai,SEXUAL ASSAULT,F,Firearm,19.0758,72.8775,2020
Vasai,PUBLIC INTOXICATION,M,Firearm,19.3931,72.8617,2020
Hyderabad,DRUG OFFENSE,F,Blunt Object,17.3617,78.4747,2020
Nagpur,IDENTITY THEFT,F,Explosives,21.1497,79.0806,2020
